Afghanistan	Others
Albania	Lagging
Algeria	Lagging
Andorra	Others
Angola	Lagging
Antigua & Barbuda	Others
Argentina	Developing
Armenia	Developing
Australia	Advanced
Austria	Advanced
Azerbaijan	Proficient
Bahamas	Others
Bahrain	Others
Bangladesh	Lagging
Barbados	Others
Belgium	Advanced
Belize	Others
Benin	Developing
Bermuda	Others
Bhutan	Others
Bolivia	Developing
Bosnia & Herzegovina	Lagging
Botswana	Lagging
Brazil	Proficient
Brunei	Others
Bulgaria	Proficient
Burkina-Faso	Lagging
Burma	Lagging
Burundi	Lagging
Byelarus	Proficient
Cambodia	Lagging
Cameroon	Lagging
Canada	Advanced
Cape Verde	Others
Central African Republic	Lagging
Chad	Lagging
Chile	Developing
China	Proficient
Colombia	Developing
Comoros	Others
Congo	Lagging
Costa Rica	Developing
Croatia	Proficient
Cuba	Proficient
Cyprus	Others
Czech Republic	Proficient
Denmark	Advanced
Djibouti	Others
Dominica 	Others
Dominican Republic	Lagging
Ecuador	Lagging
Egypt	Developing
El Salvador	Lagging
Equatorial Guinea	Others
Eritrea	Lagging
Estonia	Proficient
Ethiopia	Lagging
Federated States of Micronesia 	Others
Fiji	Others
Finland	Advanced
France	Advanced
French-Polynesia	Others
Gabon	Lagging
Gambia	Lagging
Georgia	Lagging
Germany	Advanced
Ghana 	Lagging
Greece	Proficient
Grenada	Others
Guatemala	Lagging
Guinea	Lagging
Guinea-Bissau	Lagging
Guyana	Others
Haiti	Lagging
Honduras 	Lagging
Hungary	Proficient
Iceland	Advanced
India	Proficient
Indonesia	Developing
Iran	Developing
Iraq	Lagging
Ireland	Advanced
Israel	Advanced
Italy	Advanced
Ivory Coast	Lagging
Jamaica	Lagging
Japan	Advanced
Jordan	Lagging
Kazakhstan	Lagging
Kenya	Lagging
Kiribati	Others
Kuwait	Developing
Kyrgyzstan	Lagging
Laos	Lagging
Latvia	Developing
Lebanon 	Lagging
Lesotho	Lagging
Liberia 	Others
Libya	Lagging
Liechtenstein	Others
Lithuania	Proficient
Luxembourg	Proficient
Macedonia	Developing
Madagascar	Lagging
Malawi	Lagging
Malaysia	Lagging
Maldives	Others
Mali	Lagging
Malta	Others
Marshall Islands	Others
Mauritania	Others
Mauritius	Developing
Mexico	Developing
Moldova 	Developing
Monaco	Others
Mongolia	Developing
Montenegro	Others
Morocco	Lagging
Mozambique	Lagging
Namibia	Lagging
Nauru	Others
Nepal	Lagging
Netherlands	Advanced
New Zealand	Proficient
New-Caledonia	Others
Nicaragua	Lagging
Niger	Lagging
Nigeria	Lagging
North Korea	Lagging
Norway	Advanced
Oman	Lagging
Pakistan	Developing
Palau	Others
Palestine	Lagging
Panama	Lagging
Papua New Guinea	Lagging
Paraguay	Lagging
Peru	Lagging
Philippines	Lagging
Poland	Proficient
Portugal	Proficient
Qatar	Others
Republic of Kosovo	Others
Republic of Serbia	Others
Romania	Proficient
Russia	Advanced
Rwanda	Lagging
Samoa	Others
San Marino	Others
Sao Tome & Principe	Others
Saudi Arabia	Lagging
Senegal	Lagging
Seychelles	Others
Sierra Leone	Lagging
Singapore	Proficient
Slovakia	Proficient
Slovenia	Proficient
Solomon Islands	Others
Somalia	Others
South Africa	Proficient
South Korea	Advanced
Spain	Proficient
Sri Lanka	Lagging
St-Kitts & Nevis 	Others
St-Lucia	Others
St-Vincent & the Grenadines	Others
Sudan	Lagging
Suriname	Others
Swaziland	Others
Sweden	Advanced
Switzerland	Advanced
Syria	Lagging
Taiwan	Advanced
Tajikistan	Lagging
Tanzania	Lagging
Thailand	Lagging
Togo	Lagging
Tonga	Others
Trinidad & Tobago	Lagging
Tunisia	Lagging
Turkey	Developing
Turkmenistan	Developing
Tuvalu	Others
Uganda	Lagging
Ukraine	Proficient
United Arab Emirates	Others
United Kingdom	Advanced
United States	Advanced
Uruguay	Lagging
Uzbekistan	Developing
Vanuatu	Others
Venezuela	Developing
Vietnam	Lagging
Yemen	Lagging
Zambia	Others
Zimbabwe	Lagging
Hong-Kong	Others
People's Republic of Congo	Others
American-Samoa	Others
Macau	Others
Czechoslovakia	Others
Guadeloupe	Others
Trinidad and Tobago	Others
United Arab Republic	Others
Yugoslavia	Others
Reunion	Others
Netherlands-Antilles	Others
Saint-Vincent-et-les-Grenadines	Others
Burkina Faso	Others
French-Guiana	Others
Antarctica	Others
Vatican	Others
Cook Islands	Others
Gilbert & Ellice Islands	Others
Western Sahara	Others
Senegambia	Others
Niue	Others
Ciskei	Others
Serbia and Montenegro	Others
South Sudan	Others
Crimea	Others
